sentiment,value
Resilience,1
Energy,1
Rejuvenation,2
Admiration,1
Isolation,2
Curiosity,8
Exploration,2
ArtisticBurst,1
Fulfillment,2
Anticipation,2
Confidence,1
Desolation,4
Bad,6
Inspired,5
Despair,2
Reflection,2
Obstacle,1
Confident,3
Renewed Effort,1
Nostalgia,5
Bitter,3
Melancholy,1
Elation,6
Disgust,1
Boredom,3
LostLove,1
Overwhelmed,3
Thrill,2
Betrayal,4
Loneliness,1
Immersion,1
Admiration,2
Devastated,3
Love,1
Gratitude,5
Excitement,4
Pride,3
Hate,6
Regret,2
Heartbreak,1
Compassion,3
Radiance,1
Acceptance,5
Bitterness,5
Kindness,1
Reflection,2
Despair,1
Positive,1
Surprise,1
Blessed,1
Anger,2
Suffering,1
Frustration,4
Inspiration,1
Disgust,2
Pressure,1
Resentment,3
Envisioning History,1
Calmness,3
Spark,1
Frustration,2
Shame,2
Admiration,1
Contemplation,2
Radiance,1
Positivity,1
CulinaryOdyssey,1
Acceptance,3
Wonder,1
Anticipation,1
Mesmerizing,1
Despair,6
Kind,3
Love,2
Zest,2
Curiosity,1
Satisfaction,1
Harmony,1
Elation,1
Sorrow,1
Positive,44
Awe,1
Nostalgia,4
Whispers of the Past,1
Solace,1
Amazement,1
Boredom,1
Envy,2
Fear,2
Awe,4
Shame,1
Heartwarming,1
Gratitude,2
Imagination,1
Regret,1
Inspiration,1
Marvel,1
Confusion,1
Celebration,1
Grief,4
Sadness,2
Fearful,3
Hope,1
Engagement,1
Tranquility,2
Pensive,1
Jealousy,1
Joy,42
Sympathy,1
Inspiration,4
Wonderment,1
Creative Inspiration,1
Adventure,3
Wonder,1
Envious,3
Captivation,2
Thrill,1
Harmony,1
Intimidation,1
Ecstasy,1
Compassion,1
Arousal,4
Excitement,1
Curiosity,5
Adoration,2
Ocean's Freedom,1
Regret,3
Wonder,1
Melodic,1
Serenity,5
Despair,2
Gratitude,1
Euphoria,1
Runway Creativity,1
Exhaustion,1
Gratitude,1
Jealousy,2
Enthusiasm,2
Joy in Baking,1
Intimidation,1
Calmness,1
PlayfulJoy,1
Playful,6
FestiveJoy,1
Nature's Beauty,1
Success,1
Thrilling Journey,1
Connection,1
Curiosity,1
Amusement,1
Overwhelmed,1
Bittersweet,1
Determination,2
Grandeur,1
Dismissive,3
Contentment,14
Harmony,1
Free-spirited,3
Pride,3
InnerJourney,1
Enjoyment,2
Iconic,1
Enchantment,2
Fulfillment,2
Happy,14
Compassionate,4
Romance,1
Empathetic,3
Confusion,2
EmotionalStorm,1
Indifference,1
Sad,9
Neutral,4
Affection,2
Nostalgia,1
Mindfulness,1
Motivation,1
Surprise,2
Disgust,2
Journey,1
Solitude,1
Happiness,1
Miscalculation,1
Enchantment,2
Emotion,2
Ruins,1
Adrenaline,1
Overjoyed,1
Heartache,1
Nostalgia,1
Numbness,5
Reverence,2
Vibrancy,1
Whimsy,2
Empowerment,5
Helplessness,1
Jealous,3
Relief,1
Betrayal,1
Amusement,2
Curiosity,1
Awe,2
Creativity,1
Thrill,1
Breakthrough,1
Desperation,1
Anxiety,1
Celestial Wonder,1
Ambivalence,5
Helplessness,1
Touched,1
Creativity,2
Serenity,4
Challenge,1
Heartbreak,2
Numbness,1
Hope,4
Tenderness,4
Excitement,32
Embarrassed,8
Freedom,1
Disappointment,2
Apprehensive,2
Yearning,2
Loneliness,1
Grief,3
Darkness,1
Suspense,1
Culinary Adventure,1
Euphoria,1
Loneliness,7
Proud,4
Ambivalence,1
Sorrow,1
Euphoria,4
Grief,2
Indifference,5
Hopeful,9
Colorful,1
Accomplishment,3
Awe,2
Neutral,14
Triumph,1
Friendship,1
Joy,2
Disappointed,2
DreamChaser,1
Grateful,4
JoyfulReunion,1
Negative,4
Happiness,2
Contentment,5
Optimism,1
Melancholy,5
Pride,1
Elegance,1
Anxiety,1
Hypnotic,1
Determination,5
Charm,1
Loss,2
Resilience,1
Confusion,5
Serenity,1
Reverence,2
Winter Magic,1
Coziness,2
Frustrated,5
Satisfaction,2
Dazzle,1
Mischievous,2
Happiness,2
Euphoria,1
Enthusiasm,5
Surprise,3
Gratitude,9
Intrigue,1
Appreciation,1
Serenity,5
